Model,MAE,MSE,RMSE,AUC,F1@5,F1@10,F1@20,F1@50,Precision@5,Precision@10,Precision@20,Precision@50,Recall@5,Recall@10,Recall@20,Recall@50,MAP,MRR,NDCG@5,NDCG@10,NDCG@20,NDCG@50,Train (s),Test (s)
MostPop,2.4986364030483488,9.949368393157952,2.752899812951082,0.6657339006927401,0.009063766295216727,0.010570409088098245,0.010805366886964346,0.009397929699338862,0.007891102781613738,0.007496547642533093,0.006667981850463641,0.005168672321956911,0.015151955479648094,0.02753918400690736,0.047111697086972444,0.08984260120086399,0.015696126656547914,0.03344476543238102,0.013138529058197915,0.01771897377587083,0.02406283803324945,0.03522124156778243,0.0027468204498291016,10.962143421173096
UserKNN,1.3788450078407943,3.318632199135724,1.5222571139523107,0.40262190546465093,0.0007842111856710398,0.0009845808731709616,0.0011032504485883115,0.0010596606312906387,0.0007496547642533046,0.0006904714933912018,0.0006608798579601493,0.0005721049516669959,0.0010761092877881202,0.002267994603761027,0.004932500724686211,0.0115369408950345,0.0023252154568625667,0.004708798581880771,0.0008790684649849599,0.001303750050972002,0.0021098594572039127,0.0036905075875687623,1.5019104480743408,57.77232527732849
BPR,6.570221424037428,46.53634565531359,6.6539030343272545,0.6875257974458154,0.009310832965641062,0.010302593039213949,0.01066807681105425,0.009403126282114626,0.008088380351154084,0.0072795423160387125,0.0065792069441704916,0.005172617873347717,0.015693059670387324,0.026895553445873806,0.04666281944831379,0.08984805778639786,0.015878902436006374,0.033427424674339276,0.013395589627723224,0.01749467678059515,0.02389654162996986,0.03522286359299485,1.3633694648742676,93.37987661361694
MF,1.315519490049381,2.945908600659949,1.449897234016734,0.5074042142961682,0.0010419167161387676,0.0011311706423435667,0.0014455074175232204,0.001496170303363348,0.0009469323337936479,0.0008877490629315447,0.0009370684553166289,0.0008364568948510551,0.0013689654200603105,0.00218427125361432,0.005239689535524655,0.012400844774750057,0.0023997985467330667,0.0055768736052732165,0.0012444580702235064,0.001618428431316757,0.0025903393603543753,0.004463336501974207,0.25358009338378906,93.44121599197388
PMF,1.4501577279832278,3.325960171255187,1.5760185331448529,0.6043740914357347,0.0026515268921974548,0.003051850552067579,0.0033021763694892786,0.0036642040267592,0.0024067863483921864,0.0021897810218978065,0.0020615506016965894,0.0020201223120930928,0.004361245602121515,0.00787582466414583,0.014115549243286478,0.03410255278149693,0.005747013396242109,0.011342019732082525,0.0035388939039087963,0.004806960258543087,0.006861795808303945,0.012116151132467431,1.44142746925354,16.66969656944275
NMF,2.238478051354819,6.796733011658411,2.374074158746669,0.5187283534088389,0.0006638752797031705,0.000663751054088585,0.000792609048011886,0.0009457353092692218,0.000710199250345236,0.0005129216808048927,0.0005030578023278751,0.0005247583349773134,0.0008311322179935319,0.001285105482185774,0.0031142915976027094,0.008204763456057211,0.0020197453680628834,0.004393359714199587,0.0009452576063065386,0.0010267696385352439,0.0015923054161276458,0.002940897137031982,0.276486873626709,108.78673315048218
WMF,5.758030004143076,37.35944290369193,5.898530323463697,0.7233925612943802,0.020463801169385846,0.018052850008891414,0.015405636856412091,0.01195988120432497,0.017676070230814873,0.012724403235352233,0.009459459459459385,0.006600907476819817,0.033073763738753294,0.04609585112025009,0.06650739424039236,0.1121225409911549,0.029928919024741974,0.05927683467455004,0.03127218781420345,0.035597721892431516,0.04227422388160355,0.05426014853922399,24.184794664382935,15.3983314037323
PF,6.70983927494471,48.348597145010636,6.791793953166162,0.6626913925776156,0.010975742946771854,0.010680126528945951,0.009701457739332836,0.007514677392002809,0.009429867824028432,0.007476819885579053,0.005928190964687365,0.004134937857565533,0.018140630549389677,0.027850186057123354,0.04195666193367225,0.07026138704022501,0.015208674148544182,0.03172057667979337,0.015109005330393405,0.018586943765841274,0.02329203809724871,0.030842357903198954,69.68298268318176,17.91576099395752
