Topic,Count,Name,Representation,Representative_Docs
10,153,10_virus_plague_navajo_chee,"['virus', 'plague', 'navajo', 'chee', 'leaphorn', 'death', 'brennan', 'murdered', 'tribal', 'disease']","['navajo tribal police officer jim chee lieutenant joe leaphorn investigate murder lead mystical world navajo witchcraft three unsolved homicide attempt chee life left navajo tribal police baffled murder somehow connected although occurred 120 mile apart random act violence chee leaphorn effort solve seemingly unrelated individual crime leave clue point toward one suspect suspenseful author', 'acting jim chee catch hopi poacher huddled butchered navajo tribal police officer case former bos joe leaphorn blow wide open retired navajo tribal police leaphorn hired find female biologist hunting key virulent plague lurking southwest scientist disappeared area day navajo cop murdered suspect another victim report skinwalker navajo witch seen time place leaphorn chee answer lie buried complicated knot superstition science place world native people outside force converge collide', 'plague decimated europe fourteenth century lurks today high dry land american southwest navajo tribal policeman jim chee mentor joe leaphorn discover even deadlier killer stalking reservation chilling beautifully crafted novel yet beloved bestselling master southwestern suspense acting chee catch hopi eagle poacher literally huddled bloody body young navajo tribal police officer case even fed usually odds seems hopi headed gas chamber joe leaphorn show blow chee case wide open leaphorn retired form navajo tribal police hired find cathy pollard biologist disappeared remote area day navajo cop murdered suspect victim chee leaphorn make report skinwalker navajo witch seen area time answer question leaphorn chee must immerse enigmatic web scientist hunting key virulent form bubonic plague since middle age addition finely wrought plot first eagle offer wealth tony hillerman signature gift glorious evocation high desert delicately drawn character eloquent insight foible wisdom southwest native people']"
11,86,11_goldy_diet_recipe_caterer,"['goldy', 'diet', 'recipe', 'caterer', 'health', 'food', 'weight', 'discussion', 'program', 'atkins']","['even though working wake goldy bear idea fun colorado caterer throw preparing savory feast featuring poached salmon strawberry shortcake buffet designed soothe forty mourner culinary effort seem exactly doctor ordered former gynecologist fritz korman struck goldy accused adding poison menu department health impounding leftover trashing name business close shut goldy know wait police serve answer soon uncovers one skeleton closet along veritable slew unpalatable kind could make goldy main course unsavory killer next murder praise diane mott davidson catering nobody medley murder mayhem melted york post diane mott davidson culinary mystery hazardous delicious sure satisfy grafton includes recipe', 'even though working wake goldy bear idea fun colorado caterer throw preparing savory feast featuring poached salmon strawberry shortcake buffet designed soothe forty mourner culinary effort seem exactly doctor ordered former gynecologist fritz korman struck goldy accused adding poison menu department health impounding leftover trashing name business close shut goldy know wait police serve answer soon uncovers one skeleton closet along veritable slew unpalatable kind could make goldy main course unsavory killer next murder praise diane mott davidson catering nobody medley murder mayhem melted york post diane mott davidson culinary mystery hazardous delicious sure satisfy grafton includes recipe', 'inventive recipe mixing suspense fare made diane mott davidson favorite mystery lover mainstay major bestseller list across country prepared another irresistibly tempting tale spiced mystery mayhem colorado caterer goldy schulz business booming skyrocketing friend marla constantly warning success kill goldy take warning literally next booking cocktail party westside mall elite shopper club setting goldy nearly run truck intention stopping find old friend pile sale shoe stabbed one goldy new knife goldy must catch real killer whipping sweetheart swedish meatball quiche quick diamond lover hot crab dip victim carrying powerful narcotic hired private investigator shortly murder goldy gourmet instinct tell final course case real killer praise chopping spree today foremost practitioner culinary weekly chef goldy schulz life medley murder mayhem melted york post suspense factor rise higher champagne soufflé warning goldy sharing recipe may want pull reading chair next cross mary higgins clark betty crocker sun baltimore cook mystery fan love diane mott davidson book tempting recipe elaborate plot add literary feast san diego']"
12,164,12_anne_new_time_claire,"['anne', 'new', 'time', 'claire', 'love', 'pern', 'york', 'life', 'dragon', 'jamie']","['new york time bestseller second book diana gabaldon acclaimed outlander saga basis starz original series triumph powerful tale layered history myth loved every robert classic novel outlander diana gabaldon introduced two unforgettable randall jamie reader story adventure love spanned two century gabaldon return extraordinary time place vivid powerful sequel outlander twenty year claire randall kept secret returning grown daughter mystery scotland highland claire plan reveal truth shocking event gave birth secret ancient circle standing stone secret love transcends century truth man named jamie highland warrior whose gallantry drew young claire security century danger claire spellbinding journey continues french court menace jacobite plot highland scotland war death desperate fight save child man love', '1 new york time bestseller first book diana gabaldon acclaimed outlander saga basis starz original series one top ten novel america seen pb great american read unrivaled storytelling unforgettable character rich historical detail hallmark diana gabaldon work new york time bestselling outlander novel earned praise critic captured heart million fan story started introducing two remarkable character claire beauchamp randall jamie fraser spellbinding novel passion history combine exhilarating adventure love story age scottish highland claire randall former british combat nurse back war reunited husband second honeymoon walk standing stone one ancient circle dot british isle suddenly outlander scotland torn war raiding clan year lord claire catapulted intrigue world threatens life may shatter heart marooned amid danger passion violence claire learns chance safety lie jamie fraser gallant young scot warrior begin compulsion becomes urgent need claire find torn two different men two irreconcilable life', '1 new york time bestseller first book diana gabaldon acclaimed outlander saga basis starz original series one top ten novel america seen pb great american read unrivaled storytelling unforgettable character rich historical detail hallmark diana gabaldon work new york time bestselling outlander novel earned praise critic captured heart million fan story started introducing two remarkable character claire beauchamp randall jamie fraser spellbinding novel passion history combine exhilarating adventure love story age scottish highland claire randall former british combat nurse back war reunited husband second honeymoon walk standing stone one ancient circle dot british isle suddenly outlander scotland torn war raiding clan year lord claire catapulted intrigue world threatens life may shatter heart marooned amid danger passion violence claire learns chance safety lie jamie fraser gallant young scot warrior begin compulsion becomes urgent need claire find torn two different men two irreconcilable life']"
13,498,13_novel_book_story_author,"['novel', 'book', 'story', 'author', 'american', 'one', 'new', 'life', 'time', 'published']","['understand always trying figure soul hidden new selected poem volume two anthology new entire volume poem mary oliver six last eight book major addition career poetry spanned nearly five decade recognized unparalleled poet natural world mary oliver writes unmatched dexterity profound appreciation divergence convergence living thing mary oliver always searching soul thing poem poem investigation go humble green bean nourishes make wonder ca name walk accepting gift assist mine vast untouchable bliss thing ca reach day wind bird flying idea god oliver search grows informed experience meditation perception discernment quest constantly surprised fortified joy graceful volume designed paired new selected poem volume one includes new poem bird toad flower insect body water extraordinary experience everyday life word alicia ostriker oliver move instinct faith determination among finest poet still growing older new poem mary oliver poet height control image language', 'barbara kingsolver writer praised extravagantly gifted narrative voice new york time book review created novel hymn wildness celebrates prodigal spirit human nature nature prodigal summer weave together three story human love within larger tapestry life inhabiting forested mountain struggling small farm southern appalachia heart intertwined narrative den coyote recently migrated region deanna wolfe reclusive wildlife biologist watch forest outpost isolated mountain cabin caught eddie bondo young hunter come invade private space confound solitary life farm several mile mountain another web life unfolds lusa maluf landowski bookish city girl turned farmer wife find unexpectedly marooned strange place must declare lose attachment land mile road pair elderly feuding neighbor tend respective farm wrangle god pesticide complexity world neither expected course one humid summer urge procreate overtakes green profligate countryside character find connection one another flora fauna necessarily share place discovery embedded inside countless intimate lesson biology reality small farming final urgent truth human one part life earth richness characterizes barbara kingsolver finest work prodigal summer embrace pure thematic originality demonstrates balance narrative idea accomplished novelist could render beautifully', 'barbara kingsolver writer praised extravagantly gifted narrative voice new york time book review created novel hymn wildness celebrates prodigal spirit human nature nature prodigal summer weave together three story human love within larger tapestry life inhabiting forested mountain struggling small farm southern appalachia heart intertwined narrative den coyote recently migrated region deanna wolfe reclusive wildlife biologist watch forest outpost isolated mountain cabin caught eddie bondo young hunter come invade private space confound solitary life farm several mile mountain another web life unfolds lusa maluf landowski bookish city girl turned farmer wife find unexpectedly marooned strange place must declare lose attachment land mile road pair elderly feuding neighbor tend respective farm wrangle god pesticide complexity world neither expected course one humid summer urge procreate overtakes green profligate countryside character find connection one another flora fauna necessarily share place discovery embedded inside countless intimate lesson biology reality small farming final urgent truth human one part life earth richness characterizes barbara kingsolver finest work prodigal summer embrace pure thematic originality demonstrates balance narrative idea accomplished novelist could render beautifully']"
14,71,14_stephanie_christmas_plum_bounty,"['stephanie', 'christmas', 'plum', 'bounty', 'evanovich', 'hunter', 'holiday', 'new', 'jersey', 'morelli']","['five day christmas thing looking merry fugitive apprehension agent stephanie plum got tree bought present mall staggering shopper twinkle light anywhere seen strange man kitchen sure happened stephanie plum guy different mysterious agenda name diesel mission question want help find little old toy maker skipped bail right christmas survive plum family holiday dinner get stephanie tree look like grown next nuclear power plant question keeping stephanie awake night mention fact need find bunch nasty elf sister valerie christmas surprise plum niece mary alice believe santa anymore grandma mazur new stud muffin bring plastic reindeer strap jingle bell get ready celebrate style', 'experience bestselling phenomenon sweeping nation 1 new york time 1 wall street journal 1 entertainment weekly 1 publisher weekly 1 booksense 1 los angeles time blown new jersey bounty hunter stephanie plum bring bail jumper eddie dechooch old man still got knack slipping sight raising hell else stephanie explain corpse eddie garden else would clue two stephanie friend suddenly vanished answer stephanie devil pay mentor ranger deal give stephanie help need give everything want messed thing complicated enough stephanie discovered grandma mazur unmentionable alliance eddie add series unnerving mention bombshell revelation leveled stephanie estranged sister stephanie ready good news unfortunately marriage proposal joe morelli love life quite cutting murder randy paramour wily mobster death threat extortion triplie kidnapping aside stephanie really got urge run life seven', 'experience bestselling phenomenon sweeping nation 1 new york time 1 wall street journal 1 entertainment weekly 1 publisher weekly 1 booksense 1 los angeles time blown new jersey bounty hunter stephanie plum bring bail jumper eddie dechooch old man still got knack slipping sight raising hell else stephanie explain corpse eddie garden else would clue two stephanie friend suddenly vanished answer stephanie devil pay mentor ranger deal give stephanie help need give everything want messed thing complicated enough stephanie discovered grandma mazur unmentionable alliance eddie add series unnerving mention bombshell revelation leveled stephanie estranged sister stephanie ready good news unfortunately marriage proposal joe morelli love life quite cutting murder randy paramour wily mobster death threat extortion triplie kidnapping aside stephanie really got urge run life seven']"
15,65,15_farworks_purchase_available_released,"['farworks', 'purchase', 'available', 'released', 'registered', 'inc', 'larson', '25', 'trademark', 'signature']","['hidden star nora robert released dec 25 2000 available purchase', 'sullivan woman nora robert released jul 25 2003 available purchase', 'hidden star nora robert released aug 25 1997 available purchase']"
16,156,16_tale_fairy_story_magic,"['tale', 'fairy', 'story', 'magic', 'book', 'prince', 'fantasy', 'king', 'princess', 'world']","['last line proud queen elected rule fertile land west true owner legendary round table guardian great goddess woman whose story never told raised tranquil beauty summer country princess guenevere led charmed contented life sudden violent death mother queen maire leaf summer country teetering brink anarchy miraculous arrival arthur heir pendragon dynasty allows guenevere claim mother throne smitten bold sensuous princess arthur offer marry unite territory allowing continue reign right love match creates largest powerful kingdom isle yet even glory camelot safe shadow evil revenge arthur reunited morgause morgan princess torn mother ancestral right arthur father brutal unscrupulous king uther daughter avenge suffering morgan strike deadliest blow using enchantment destroy guenevere hold dear force arthur betray queen chaos follows arthur dispatch new knight guenevere young french prince lancelot never knowing lancelot passion queen may love spell ruin camelot', 'magical saga woman behind king arthur throne monumental reimagining arthurian legend reading deeply moving time uncanny experience impressive new york time book review marion zimmer bradley masterpiece see tumult adventure camelot court eye woman bolstered king rise schemed fall childhood ultimate fulfillment destiny follow woman diverse cast character surround great arthurian epic unfolds stunningly u morgaine gwenhwyfar struggle control fate arthur kingdom knight round table take infamous quest merlin viviane wield magic future old britain isle avalon slip impenetrable mist memory fissure old new world old new religion claim famous victim', 'white masterful retelling saga king arthur fantasy classic legendary excalibur camelot poignant story adventure romance magic enchanted reader generation upon time young boy called wart tutored magician named merlyn preparation future possibly imagine future would ally greatest knight love legendary queen unite country dedicated chivalrous value future would see crowned known time arthur king briton arthur reign kingdom camelot founded cast enlightenment dark age knight round table embarked many noble quest merlyn foresaw treachery awaited liege forbidden love queen guenever lancelot wicked plot arthur morgause hatred fostered mordred would bring end king dream king future king mingles wisdom wonderful humor deep telling one great tale western gavriel kay']"
17,318,17_woman_one_new_murder,"['woman', 'one', 'new', 'murder', 'time', 'killer', 'york', 'life', 'novel', 'find']","['dangerously beautiful lucky star two jackie collins previous smash international number one bestseller chance lucky return lady bos time shockingly sensual ruthlessly clever lucky conquer hollywood chance lucky grew top crime family lucky married three time lady bos take hollywood win panther studio prize lucky want quest power meet adversary enemy friend betrayer relationship husband charismatic comedian movie star lennie golden put test lucky first challenge buy movie studio still controlled powerful conglomerate panther studio owned retired irascible old abe panther abe wo sell beloved studio lucky prof gut make hollywood idea disguise secretary go undercover find really going challenge also satisfies lucky passion adventure desire take chance process lucky uncovers world financial scheming betrayal bizarre sex panther studio lucky santangelo dangerous mix lucky make final move assuming role lady bos panther studio stuns entire industry set series shock wave threatening marriage lennie bringing head hatred crime bos carlos bonnatti hatred go back generation putting peril life life everyone close lady bos jackie collins brings back one intriguing endearing character lucky santangelo also prof unquestioned queen glamorous fiction copyright libri gmbh right reserved', 'loyal beautiful professional impeccably organized potentially lethal sarah stevens woman many distinct quality first foremost butler par excellence skilled running large household smoothly efficiently also trained bodyguard expert elderly employer courtly gentleman sarah come respect love father one night thwart burglary progress courageous act reward sarah requisite fifteen minute fame local press exposure enough catch attention tortured soul unbeknownst sarah stop nothing sarah perfectly ordered life shattered tragedy strike beloved employer brutally murdered detective investigating case assures sarah suspect lightning strike twice second time despite lack evidence connecting crime sarah escape shadow guilt option left sarah carry life realize deranged stalker luring elaborate trap one ensnared might never escape sarah soon find mercy man tend every whim smother affection crush embrace nonstop ride unrelenting suspense linda howard written chilling novel yet dying please breathless thriller desire obsession hardcover edition', 'loyal beautiful professional impeccably organized potentially lethal sarah stevens woman many distinct quality first foremost butler par excellence skilled running large household smoothly efficiently also trained bodyguard expert elderly employer courtly gentleman sarah come respect love father one night thwart burglary progress courageous act reward sarah requisite fifteen minute fame local press exposure enough catch attention tortured soul unbeknownst sarah stop nothing sarah perfectly ordered life shattered tragedy strike beloved employer brutally murdered detective investigating case assures sarah suspect lightning strike twice second time despite lack evidence connecting crime sarah escape shadow guilt option left sarah carry life realize deranged stalker luring elaborate trap one ensnared might never escape sarah soon find mercy man tend every whim smother affection crush embrace nonstop ride unrelenting suspense linda howard written chilling novel yet dying please breathless thriller desire obsession']"
18,86,18_war_germany_ii_year,"['war', 'germany', 'ii', 'year', 'world', 'german', 'winnie', 'nazi', 'sent', 'jewish']","['world war ii london bombed many child sent countryside shy delicate elizabeth sent ireland stay mother friend warmth kindness family heart ashleen elizabeth age became blood sister war path crossed many time adult year', 'world war ii london bombed many child sent countryside shy delicate elizabeth sent ireland stay mother friend warmth kindness family heart ashleen elizabeth age became blood sister war path crossed many time adult year', 'world war ii london bombed many child sent countryside shy delicate elizabeth sent ireland stay mother friend warmth kindness family heart ashleen elizabeth age became blood sister war path crossed many time adult year']"
19,95,19_school_potter_family_harry,"['school', 'potter', 'family', 'harry', 'hogwarts', 'child', 'aunt', 'secret', 'wizardry', 'uncle']","['third year hogwarts school witchcraft wizardry harry potter must confront devious dangerous wizard responsable parent death', 'third year hogwarts school witchcraft wizardry harry potter must confront devious dangerous wizard responsible parent death', 'third year hogwarts school witchcraft wizardry harry potter must confront devious dangerous wizard responsable parent death']"
20,81,20_de_la_en_que,"['de', 'la', 'en', 'que', 'su', 'der', 'un', 'el', 'una', 'russian']","['susan vreeland set high standard girl hyacinth blue passion artemisia even better vreeland unsentimental prose turn factual artemisia fictional heroine wo soon forget novel one female painter achieve fame era great struggle artemisia gentileschi led remarkably modern life vreeland tell artemisia captivating story beginning public humiliation rape trial age eighteen continuing father betrayal marriage convenience motherhood growing fame artist set glorious backdrop rome florence genoa naples inhabited historical character galileo cosimo de medici ii filled rich detail life painter vreeland creates inspiring story one woman lifelong struggle reconcile career family passion genius', 'backdrop russian revolution world war europe zoya young cousin tsar flees petersburg paris find safety entire world forever changed face hard time join ballet russe paris life kind zoya move new glittering life new york day ease brief depression strike loses everything yet career man meet course ultimately save rebuilds life war year beyond family come mean everything roaring twenty 1980 zoya remains rare spirited woman whose legacy live', 'backdrop russian revolution world war europe zoya young cousin tsar flees petersburg paris find safety entire world forever changed face hard time join ballet russe paris life kind zoya move new glittering life new york day ease brief depression strike loses everything yet career man meet course ultimately save rebuilds life war year beyond family come mean everything roaring twenty 1980 zoya remains rare spirited woman whose legacy live']"
21,48,21_teen_orman_book_life,"['teen', 'orman', 'book', 'life', 'relationship', 'love', 'soup', 'chicken', 'reader', 'soul']","['teenager wonderful challenging 7 habit highly effective teen author sean covey applies timeless principle 7 habit teen tough issue decision face entertaining style covey provides guide help teen improve build friendship resist peer pressure achieve goal get along parent much addition book stuffed cartoon clever idea great quote incredible story real teen world 7 habit highly effective teen engage teenager unlike book indispensable book teen well parent grandparent adult influence young people 7 habit highly effective teen destined become last word surviving thriving teen beyond', 'love often mystery teenager sometimes painful time glorious always challenging book help understand sort myriad feeling experience rather merely offering one adult opinion reflection love kirberger deftly combine material teen dealing firsthand adolescent love adult sensitive special need teen includes original letter received teen along response question concern confusion blend provides perspective love relationship enable teen gain wisdom choose wisely making decision love relationship book designed guide teen maze love relationship gentle understanding compassionate way t manual rather guidebook teen come treasure wise loving counselor companion ride teen love one book teen afford without check companion book colin mortensen mtv real', 'third volume chicken soup teenage soul series promise love support inspiration series loyal teen reader life struggle teen dealing tragedy seem plague often also handling daily pressure pervade life book like first two volume series help serve guide constant companion original chicken soup teenage soul new york time bestseller sold million copy successor chicken soup teenage soul ii 1 new york time bestseller already sold million copy third volume blockbuster series promise every bit successful first two teen reader continue cherish inspired series chapter focus love friendship family tough stuff growing kindness learning lesson making difference keeping theme content chicken soup teenage soul series teen also find support encouragement understanding peer well caring compassionate adult book book read reread sharing favorite story one another also perfect gift adult give teen life']"
22,86,22_family_father_son_home,"['family', 'father', 'son', 'home', 'boy', 'maine', 'mother', 'life', 'beautiful', 'death']","['sometimes dead better creed move beautiful old house rural maine seems good true physician father beautiful wife charming little daughter adorable infant son idyllic home family got right friendly cat nearby wood hide truth terrifying death hideously powerful', 'thing believed sandy dennys always normal one extraodinary murry family garden make occasional school play baseball nothing especially interesting happened twin accidentally interrupt father two boy thrown across time space find alone desert believe unicorn find unicorn whether believe mammoth manticore find twin rescued japheth man nearby oasis bring safety dennys get lost boy quickly embroiled conflict time place whose population includes winged seraph stray mythic beast perilous beautiful nephilim small long lived human consider sandy dennys giant boy find oasis simply getting home reunite estranged father son wo easy especially son named noah start building boat desert', 'thing believed sandy dennys always normal one extraodinary murry family garden make occasional school play baseball nothing especially interesting happened twin accidentally interrupt father two boy thrown across time space find alone desert believe unicorn find unicorn whether believe mammoth manticore find twin rescued japheth man nearby oasis bring safety dennys get lost boy quickly embroiled conflict time place whose population includes winged seraph stray mythic beast perilous beautiful nephilim small long lived human consider sandy dennys giant boy find oasis simply getting home reunite estranged father son wo easy especially son named noah start building boat desert']"
23,127,23_fear_killer_know_death,"['fear', 'killer', 'know', 'death', 'town', 'victim', 'nightmare', 'secret', 'may', 'murder']","['sometimes evil lingers close feel seattle police sketch artist maggie barnes extraordinary gift listens traumatized crime victim describe ordeal us horrifying recollection draw sketch assailant cop think maggie telepathic actually enter victim mind maggie know truth behind rare talent telling secret may exposed madman seizes seattle terrifying grip abducts woman blind leaving barely alive police one hope lone victim might recover sight know maggie dark connection monster eerie link may stretch back string unsolved murder stop escalating terror maggie push ability breaking point even mean confronting predator whose power seem bound', 'enter madman cruel mind plan vicious crime see terrified face prey move stop frenzy strike psychic cassie neill help police catch make terrible mistake innocent child dy cassie flees small north carolina town hoping quiet life silence voice invade unwilling mind cassie ability know boundary become one else murderer stalking ryan bluff fury cassie sens first foul thought perverse excitement yet know strike sheriff wo even listen first body found exactly predicted suspect race desperately unmask killer way know entering twisted mind every step loaded fear uncertainty sens within trap deep never find way', 'sometimes warning sign come late brutal slaying boulder controversial strike deep heart everything clinical psychologist alan gregory hold dear alan wife lauren worked dead man new patient walk alan terrified mother explosive find edging even closer darkness soon privileged exchange convince alan crime committed uncovers shocking link slaying alan suddenly locked ethical dilemma career thrust desperate manhunt killer whose identity one could guessed minute tick warning sign explodes gripping story crime punishment tragedy human being caught shattering cross fire force beyond control force sometimes within']"
24,26,24_force_tribulation_evil_overwhelming,"['force', 'tribulation', 'evil', 'overwhelming', 'battle', 'antihero', 'carpathia', 'deranging', 'wrest', 'unloyal']","['tribulation force continues fight force antichrist', 'tribulation force gather courage carpathia demonstrates fondness gruesome killing remain unloyal commits ultimate act desecration community', 'tribulation force gather courage carpathia demonstrates fondness gruesome killing remain unloyal commits ultimate act desecration community']"
